tiempo,led_verde,led_rojo,val_x,val_y
6.189999930938939e-05,1,255.00001237999987,512,506
0.6109434999998484,1,255.12218869999998,512,506
0.7245223999998416,1,255.14490447999998,512,506
0.8384197999994285,1,255.1676839599999,512,506
0.9501966999996512,1,255.19003933999994,512,506
1.0643278999996255,1,255.2128655799999,512,506
1.1754377999995995,1,255.23508755999993,512,506
1.288906799999495,1,255.2577813599999,512,506
1.4003771999996388,1,255.28007543999993,512,506
1.5135768000000098,1,255.30271536,512,506
1.6147120999994513,1,255.3229424199999,512,506
1.7256425999994462,1,255.3451285199999,512,506
1.83859399999983,1,255.36771879999998,512,506
1.9526931000000332,1,255.39053862,512,506
2.0536225999994713,1,255.4107245199999,512,506
2.1650850999994873,1,255.4330170199999,512,506
2.2761155999996845,1,255.45522311999994,512,506
2.390004599999884,1,255.47800091999997,512,506
2.503199699999641,1,255.50063993999993,512,506
2.6170454999992216,1,255.52340909999984,512,506
2.7305827999998655,1,255.54611655999997,512,506
2.844558099999631,1,255.56891161999994,512,506
2.9580490999996982,1,255.59160981999995,512,506
3.071737799999937,1,255.61434756,512,506
3.1728294999993523,1,255.63456589999987,512,506
3.2862585999992007,1,255.65725171999983,512,506
3.39961299999959,1,255.6799225999999,512,506
3.510910099999819,1,255.70218201999995,512,506
3.6238298999996914,1,255.72476597999994,512,506
3.7377498999994714,1,255.7475499799999,512,506
3.8488965999995344,1,255.7697793199999,512,506
3.960465799999838,1,255.79209315999998,512,506
4.074211099999957,1,255.81484222,512,506
4.175091999999495,1,255.8350183999999,512,506
4.287533899999289,1,255.85750677999985,512,506
4.401508499999181,1,255.88030169999985,512,506
4.514546499999597,1,255.90290929999992,512,506
4.627432799999951,1,255.92548656,512,506
4.728047499999775,1,255.94560949999996,512,506
4.841770899999574,1,255.96835417999992,512,506
4.955703199999334,1,255.99114063999986,512,506
