tiempo,led_verde,led_rojo,val_x,val_y
5.379999947763281e-05,1,255.0000107599999,512,1023
0.6115201000002344,1,255.12230402000006,0,506
0.7207129999997051,1,255.14414259999995,969,0
0.8281160999995336,1,255.1656232199999,1023,1023
0.9425409999994372,1,255.1885081999999,0,1023
1.0550326000002315,1,255.21100652000004,0,0
1.162709199999881,1,255.23254183999998,1023,218
1.2752130999997462,1,255.25504261999995,1023,1023
1.3935812999998234,1,255.27871625999995,0,511
1.5060855000001538,1,255.30121710000003,377,0
1.6131672000001345,1,255.32263344000003,1023,817
1.7274368999997023,1,255.34548737999995,512,1023
1.8440678999995725,1,255.3688135799999,0,506
1.9526961999999912,1,255.39053924,512,0
2.0467775999995865,1,255.4093555199999,1023,506
2.1585291999999754,1,255.43170584,1023,1023
2.2646789999998873,1,255.45293579999998,0,506
2.3746120999994673,1,255.4749224199999,512,0
2.4797381999997015,1,255.49594763999994,1023,1023
2.5944061999998667,1,255.51888123999998,512,1023
2.7120536000002176,1,255.54241072000005,0,0
2.819527900000139,1,255.56390558000004,1023,0
2.9296635000000606,1,255.5859327,1023,1023
3.031348900000012,1,255.60626978,0,1023
3.1322484000002078,1,255.62644968000004,512,0
3.2400267000002714,1,255.64800534000005,1023,1023
3.3545819000000847,1,255.67091638000002,512,1023
3.47120410000025,1,255.69424082000006,511,0
3.5806674999994357,1,255.7161334999999,931,0
3.6882034000000203,1,255.73764068,1023,1023
3.7943600999997216,1,255.75887201999996,512,506
3.9098235000001296,1,255.78196470000003,511,257
4.0227261,1,255.80454522,512,506
4.124070299999403,1,255.82481405999988,546,1023
4.238078899999891,1,255.84761577999998,512,506
4.352688799999669,1,255.87053775999993,512,506
4.4677246999999625,1,255.89354494,512,506
4.569684199999756,1,255.91393683999996,511,0
4.68094789999941,1,255.93618957999988,765,0
4.789526099999421,1,255.95790521999987,1023,506
4.903170699999464,1,255.9806341399999,1023,1023
